##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	27379_R2.fastq.gz
1112	75-79	1.720903249025639
1112	80-84	1.6292537389452448
1112	85-89	1.6661263440773553
1112	90-94	1.7119954147967746
1112	95-99	1.842749395801036
1112	100-104	1.9717372751674276
1112	105-109	2.204592532657138
1112	110-114	2.254064115204855
1112	115-119	2.496586920785674
1112	120-124	2.7083696544252334
1112	125-129	2.8371624403406486
1112	130-134	3.1776704804025044
1112	135-139	3.4587384797972547
1112	140-144	3.8107429527200196
1112	145-149	3.9532536608930933
1112	150-151	3.5322489698169726
1113	1	0.6240493182532809
1113	2	0.20827892731207953
1113	3	0.18302558635877375
1113	4	0.13974243299976052
1113	5	-0.11113484131368523
1113	6	-0.2527608780518662
1113	7	-0.26778304755953286
1113	8	0.08272521065624971
1113	9	0.1025415502567526
1113	10-14	0.05469085240556382
1113	15-19	0.12234772801676286
1113	20-24	0.03534534764619934
1113	25-29	0.06852124430437811
1113	30-34	0.23864930580068489
1113	35-39	0.2405535808431054
1113	40-44	0.2911008010021092
1113	45-49	0.29387197612200566
1113	50-54	0.4262264860210436
1113	55-59	0.5395806350150778
1113	60-64	0.7221359912269634
1113	65-69	0.5946294898923128
1113	70-74	0.6254277241067143
1113	75-79	0.24351306030691688
1113	80-84	0.37452469388829
1113	85-89	0.40420636373161756
1113	90-94	0.33656246260715506
1113	95-99	0.2668518176971446
1113	100-104	0.4292422189129965
1113	105-109	0.530197239348432
1113	110-114	0.6338369234516819
1113	115-119	0.7504339044303165
1113	120-124	0.6969050008239748
1113	125-129	0.9274313635308573
1113	130-134	0.8618561728497269
1113	135-139	0.9508093395109398
1113	140-144	1.5025466660231928
1113	145-149	1.7342609304421224
1113	150-151	1.218854871640243
1114	1	0.40632987782326424
1114	2	0.43137781161102495
1114	3	0.6691796132745438
1114	4	0.5990846943630288
1114	5	0.45634098119193567
1114	6	0.7289156351869224
1114	7	0.7101020008224666
1114	8	0.6639663314576296
1114	9	0.6001970110939254
1114	10-14	0.6060311068177313
1114	15-19	0.6404738184862353
1114	20-24	0.7371965448862241
1114	25-29	0.8122515053804094
1114	30-34	0.8867495165196502
1114	35-39	0.9339896555500786
1114	40-44	1.026256596611745
1114	45-49	1.1807957534680966
1114	50-54	1.328494650307313
1114	55-59	1.3927680272612406
1114	60-64	1.4836907511075097
1114	65-69	1.5367782116864959
1114	70-74	1.6160211526051356
1114	75-79	1.5597519217573748
1114	80-84	1.4483721125871654
1114	85-89	1.4752895900578196
1114	90-94	1.565779513922955
1114	95-99	1.6496185232200773
1114	100-104	1.7667014948138302
1114	105-109	1.9383307416668245
1114	110-114	2.051695356793495
1114	115-119	2.1548396067225895
1114	120-124	2.408945220111768
1114	125-129	2.587442047896694
1114	130-134	2.8398167625613766
1114	135-139	3.088708988538265
1114	140-144	3.3612505335072385
1114	145-149	3.508120861897691
1114	150-151	3.0217894531579894
1115	1	0.3394134793303216
1115	2	0.2972246606988307
1115	3	0.3773727461944745
1115	4	0.4727626900482065
1115	5	0.3781902781957882
1115	6	0.5897105212453866
1115	7	0.6004350779025387
1115	8	0.5437875499598164
1115	9	0.5281102114326259
1115	10-14	0.5359847443706798
1115	15-19	0.5154191368189984
1115	20-24	0.637389995296779
1115	25-29	0.6992729376704645
1115	30-34	0.7615812618359357
1115	35-39	0.8019874913577567
1115	40-44	0.8833285937180904
1115	45-49	1.0219744126771104
1115	50-54	1.1355980887188153
1115	55-59	1.1995642187429922
1115	60-64	1.2941060809937
1115	65-69	1.3285337700911413
1115	70-74	1.4276863050746442
1115	75-79	1.2994443680706809
1115	80-84	1.2478503547107778
1115	85-89	1.2321682883927139
1115	90-94	1.2806240958279602
1115	95-99	1.2920629012710378
1115	100-104	1.4281541397634214
1115	105-109	1.6019996477938108
1115	110-114	1.7198989194285872
1115	115-119	1.7712958371686085
1115	120-124	1.9484085179858965
1115	125-129	2.0872686267210128
1115	130-134	2.39181485878688
1115	135-139	2.6202501006421457
1115	140-144	2.9078358703819305
1115	145-149	3.0850980543864743
1115	150-151	2.576428384992976
1116	1	0.31244062060682154
1116	2	0.3375286922263534
1116	3	0.47980461695696164
1116	4	0.45437901547036574
1116	5	0.35357972787883796
1116	6	0.6139296293176457
1116	7	0.591146315569226
1116	8	0.5731384743869015
1116	9	0.5633742425368382
1116	10-14	0.571316241173939
1116	15-19	0.5600034997470118
1116	20-24	0.6793007333390264
1116	25-29	0.750152570028142
1116	30-34	0.8003497000861586
1116	35-39	0.8609480163976073
1116	40-44	0.9626227836839973
1116	45-49	1.1019106720473388
1116	50-54	1.2065576469764423
1116	55-59	1.2812685040008063
1116	60-64	1.3419657867719152
1116	65-69	1.418607769369352
1116	70-74	1.5059861100401122
1116	75-79	1.4062720472989696
1116	80-84	1.3367504342497867
1116	85-89	1.328221083884408
1116	90-94	1.3215258787594664
1116	95-99	1.348103129107308
1116	100-104	1.472914219517392
1116	105-109	1.6691311456447124
1116	110-114	1.7167187979313425
1116	115-119	1.8187625723912717
1116	120-124	2.065764501500965
1116	125-129	2.131877525799922
1116	130-134	2.3747011701197778
1116	135-139	2.6267787660845627
1116	140-144	2.9355152782182614
1116	145-149	3.049376492329163
1116	150-151	2.683993556674235
1117	1	0.37031383758084857
1117	2	0.19622086283313678
1117	3	0.30889547683052143
1117	4	0.32043686393190995
1117	5	0.2649852370518744
1117	6	0.42627736265057337
1117	7	0.3270469586462639
1117	8	0.37667270959980925
1117	9	0.41007216418046255
1117	10-14	0.45495877526297335
1117	15-19	0.4161397465693284
1117	20-24	0.5078207569259163
1117	25-29	0.6021653225279593
1117	30-34	0.6604673750750791
1117	35-39	0.7087003528355424
1117	40-44	0.7544155769346688
1117	45-49	0.870791003705726
1117	50-54	1.024564319617248
1117	55-59	1.098160239116325
1117	60-64	1.1508693423814833
1117	65-69	1.1838339177378927
1117	70-74	1.294357524962173
1117	75-79	1.1243175227698217
1117	80-84	1.111914098561435
1117	85-89	1.15047741040447
1117	90-94	1.1955186721719429
1117	95-99	1.2934642365168827
1117	100-104	1.2745345322804553
1117	105-109	1.4290069099345288
1117	110-114	1.5167206926470058
1117	115-119	1.5467992392639403
1117	120-124	1.7659232497873774
1117	125-129	1.952264910711726
1117	130-134	2.0923826712345175
1117	135-139	2.3456727199872773
1117	140-144	2.4494255805996303
1117	145-149	2.6846795658818046
1117	150-151	2.4076016378446603
1118	1	0.16746693148288827
1118	2	0.15704231476187047
1118	3	0.2443432869745763
1118	4	0.3209644838002461
1118	5	0.30103361899061554
1118	6	0.4915432871389882
1118	7	0.38728451886569104
1118	8	0.382373848763109
1118	9	0.46600740395290785
